# DUET
algo,for_delta_logprob,for_delta_rank,for_hidden_cos,for_kl,ret_delta_logprob,ret_delta_rank,ret_hidden_cos,ret_kl
GA,-3106.3451,106826.3862,0.3516,479.5761,-2749.6342,103104.338,0.3479,511.3984
GD,-5916.8857,104134.267,0.1915,1006.4202,-250.9417,-8751.2948,0.76,48.2258
WGA,-51.752,-3714.4201,0.7294,16.1699,22.5362,-13929.0114,0.88,7.4524
NPO,-42.0248,8824.0704,0.8612,5.4448,21.3609,-13660.6152,0.9101,7.5021
AdaPop,-159.933,53760.9317,0.7016,42.4493,21.4621,-13769.7484,0.8745,6.4981

# RWKU
algo,for_delta_logprob,for_delta_rank,for_hidden_cos,for_kl,ret_delta_logprob,ret_delta_rank,ret_hidden_cos,ret_kl
GA,-6082.9487,96253.6236,0.285,953.0837,-6105.7023,98801.8761,0.2894,955.8409
GD,-6842.0652,96880.9075,0.175,1139.71,-539.7126,-3121.6138,0.7827,97.1106
WGA,-3.4656,-11006.1737,0.5412,6.6557,33.634,-12202.4381,0.8748,6.7579
NPO,-18.4691,2738.624,0.8833,2.9465,31.2893,-11726.7748,0.8694,7.3838
AdaPop,-23.3065,4168.7123,0.4842,9.0934,33.2964,-12189.7074,0.8832,6.1641

